,population_den,Area,female_per,children_living_with_single_parents,owner_occupied,some_college_more,dropped_out_schoolOrCollege,sep_wid_div,unemp,debt_housing_units,housing_retirement_income,females_per_tier1_jobs,household_income_less_than_20k,household_size_greater_than_equal_3,age_35_to_54,family_household,household_self_emp,hh_dividends,yr_built,electricity_cost_per,gross_rent,pool_publicTransport,bike
"Block Group 2, Census Tract 201.02, Benton County, Arkansas",296.20,6.48,0.53,0.50,328,0.51,0.00,0.19,0.03,0.64,0.38,0.25,0.97,0.65,0.18,0.91,0.04,0.36,1989.00,0.39,0.00,0.04,0.00
"Block Group 3, Census Tract 201.02, Benton County, Arkansas",208.90,8.07,0.50,0.52,400,0.56,0.00,0.17,0.03,0.82,0.09,0.44,0.81,0.52,0.26,0.82,0.06,0.06,1993.00,0.20,0.41,0.05,0.00
"Block Group 4, Census Tract 201.02, Benton County, Arkansas",379.90,2.86,0.47,0.24,348,0.57,0.00,0.17,0.01,0.26,0.15,0.32,0.85,0.32,0.23,0.76,0.00,0.24,1987.00,0.15,0.11,0.04,0.00
"Block Group 1, Census Tract 201.03, Benton County, Arkansas",127.40,14.09,0.44,0.28,440,0.50,0.00,0.13,0.02,0.57,0.15,0.44,1.00,0.45,0.27,0.77,0.17,0.24,1994.00,0.28,0.00,0.19,0.03
"Block Group 2, Census Tract 201.03, Benton County, Arkansas",2723.60,0.50,0.53,0.22,479,0.45,0.00,0.10,0.00,0.71,0.10,0.32,0.92,0.44,0.31,0.78,0.30,0.11,1995.00,0.21,0.00,0.00,0.00
"Block Group 3, Census Tract 201.03, Benton County, Arkansas",616.80,2.13,0.45,0.11,374,0.41,0.00,0.22,0.00,0.58,0.13,0.39,0.85,0.50,0.21,0.82,0.14,0.04,1986.00,0.34,0.28,0.35,0.00
"Block Group 1, Census Tract 201.04, Benton County, Arkansas",59.50,28.91,0.51,0.09,536,0.40,0.01,0.19,0.02,0.52,0.16,0.62,0.91,0.45,0.38,0.82,0.18,0.30,1994.00,0.30,0.13,0.10,0.00
"Block Group 1, Census Tract 202.01, Benton County, Arkansas",366.20,2.54,0.57,0.04,204,0.40,0.00,0.12,0.17,0.37,0.18,0.72,0.94,0.36,0.27,0.81,0.17,0.16,1981.00,0.30,0.00,0.08,0.00
"Block Group 2, Census Tract 202.01, Benton County, Arkansas",1125.60,2.72,0.48,0.13,555,0.37,0.02,0.13,0.02,0.54,0.08,0.26,0.88,0.50,0.29,0.81,0.05,0.13,1988.00,0.37,0.20,0.17,0.00
"Block Group 3, Census Tract 202.01, Benton County, Arkansas",3125.20,0.42,0.53,0.17,218,0.53,0.00,0.15,0.00,0.59,0.10,0.39,0.86,0.47,0.16,0.59,0.15,0.22,1960.00,0.31,0.23,0.22,0.00
"Block Group 1, Census Tract 202.03, Benton County, Arkansas",359.50,4.04,0.53,0.18,546,0.70,0.00,0.12,0.00,0.46,0.25,0.19,0.93,0.29,0.24,0.79,0.09,0.27,1992.00,0.21,0.21,0.10,0.00
"Block Group 2, Census Tract 202.03, Benton County, Arkansas",932.10,1.29,0.51,0.45,316,0.54,0.00,0.16,0.00,0.46,0.14,0.28,0.88,0.47,0.25,0.72,0.09,0.15,1981.00,0.28,0.13,0.12,0.00
"Block Group 1, Census Tract 202.05, Benton County, Arkansas",3109.40,0.63,0.50,0.11,476,0.15,0.00,0.14,0.02,0.67,0.09,0.27,0.87,0.43,0.25,0.71,0.03,0.06,1986.00,0.29,0.00,0.04,0.00
"Block Group 2, Census Tract 202.05, Benton County, Arkansas",499.70,2.61,0.53,0.07,266,0.47,0.13,0.04,0.03,0.58,0.14,0.29,0.94,0.58,0.36,0.82,0.00,0.11,1996.00,0.45,0.00,0.16,0.00
"Block Group 3, Census Tract 202.05, Benton County, Arkansas",906.80,2.30,0.49,0.21,381,0.29,0.00,0.14,0.04,0.53,0.07,0.21,0.80,0.59,0.27,0.67,0.04,0.15,1992.00,0.33,0.29,0.07,0.00
"Block Group 1, Census Tract 202.06, Benton County, Arkansas",1153.10,1.90,0.51,0.22,483,0.40,0.24,0.25,0.01,0.62,0.11,0.21,0.99,0.61,0.33,0.72,0.09,0.07,1976.00,0.23,0.00,0.22,0.00
"Block Group 2, Census Tract 202.06, Benton County, Arkansas",3263.00,0.59,0.53,0.03,447,0.21,0.07,0.02,0.01,0.67,0.00,0.24,0.96,0.67,0.44,0.90,0.17,0.06,1996.00,0.13,0.00,0.09,0.00
"Block Group 3, Census Tract 202.06, Benton County, Arkansas",5997.20,0.60,0.52,0.51,235,0.29,0.00,0.13,0.00,0.80,0.03,0.18,0.78,0.80,0.19,0.87,0.15,0.01,1998.00,0.18,0.22,0.16,0.00
"Block Group 1, Census Tract 203.01, Benton County, Arkansas",1960.60,0.93,0.48,0.21,103,0.31,0.00,0.05,0.02,0.53,0.07,0.26,0.91,0.64,0.36,0.77,0.14,0.07,1983.00,0.48,0.04,0.25,0.00
"Block Group 2, Census Tract 203.01, Benton County, Arkansas",2994.80,0.38,0.59,0.74,155,0.39,0.00,0.44,0.03,0.26,0.04,0.55,0.75,0.12,0.08,0.41,0.04,0.11,1983.00,0.61,0.09,0.07,0.02
"Block Group 3, Census Tract 203.01, Benton County, Arkansas",3397.60,0.38,0.56,0.83,126,0.28,0.00,0.32,0.05,0.64,0.17,0.30,0.66,0.34,0.21,0.48,0.06,0.06,1984.00,0.46,0.17,0.19,0.00
"Block Group 1, Census Tract 203.02, Benton County, Arkansas",1855.40,0.39,0.38,0.86,121,0.38,0.00,0.17,0.03,0.72,0.11,0.07,1.00,0.53,0.16,0.81,0.11,0.10,1996.00,0.05,0.57,0.32,0.00
"Block Group 2, Census Tract 203.02, Benton County, Arkansas",4475.30,0.35,0.53,0.48,173,0.41,0.09,0.25,0.02,0.82,0.10,0.51,0.81,0.44,0.20,0.52,0.11,0.10,1987.00,0.39,0.06,0.12,0.00
"Block Group 3, Census Tract 203.02, Benton County, Arkansas",4752.50,0.40,0.54,0.23,455,0.39,0.12,0.16,0.03,0.67,0.19,0.37,0.95,0.63,0.26,0.80,0.03,0.05,1985.00,0.27,0.13,0.10,0.00
"Block Group 1, Census Tract 203.04, Benton County, Arkansas",1931.50,2.29,0.51,0.30,884,0.59,0.06,0.20,0.04,0.75,0.14,0.51,0.90,0.40,0.26,0.61,0.13,0.16,1995.00,0.57,0.10,0.07,0.00
"Block Group 1, Census Tract 203.05, Benton County, Arkansas",2141.40,1.12,0.46,0.46,552,0.38,0.00,0.17,0.01,0.81,0.16,0.37,0.90,0.56,0.31,0.80,0.13,0.18,1992.00,0.18,0.18,0.09,0.00
"Block Group 2, Census Tract 203.05, Benton County, Arkansas",2325.80,0.62,0.43,0.08,462,0.73,0.00,0.11,0.05,0.80,0.27,0.67,0.98,0.40,0.33,0.78,0.07,0.23,1993.00,0.16,0.25,0.10,0.00
"Block Group 1, Census Tract 204.01, Benton County, Arkansas",3608.70,0.51,0.61,0.86,258,0.38,0.00,0.26,0.07,0.50,0.32,0.26,0.79,0.27,0.15,0.67,0.07,0.22,1981.00,0.42,0.39,0.02,0.00
"Block Group 2, Census Tract 204.01, Benton County, Arkansas",1006.40,2.41,0.58,0.30,593,0.56,0.00,0.21,0.05,0.56,0.24,0.55,0.93,0.21,0.28,0.64,0.08,0.29,1988.00,0.21,0.10,0.02,0.00
"Block Group 3, Census Tract 204.01, Benton County, Arkansas",3483.10,0.70,0.46,0.30,528,0.44,0.00,0.19,0.04,0.69,0.27,0.34,0.89,0.39,0.31,0.75,0.06,0.15,1986.00,0.03,0.22,0.17,0.00
"Block Group 1, Census Tract 204.02, Benton County, Arkansas",2044.60,0.50,0.55,0.03,237,0.46,0.00,0.19,0.02,0.86,0.13,0.29,0.89,0.42,0.23,0.70,0.03,0.08,1984.00,0.10,0.21,0.07,0.00
"Block Group 2, Census Tract 204.02, Benton County, Arkansas",4309.30,0.50,0.47,0.00,466,0.64,0.01,0.10,0.05,0.73,0.21,0.43,0.85,0.56,0.24,0.75,0.13,0.22,1978.00,0.15,0.32,0.04,0.00
"Block Group 3, Census Tract 204.02, Benton County, Arkansas",5644.00,0.50,0.54,0.51,277,0.34,0.00,0.20,0.00,0.85,0.05,0.26,0.99,0.67,0.35,0.79,0.30,0.06,1986.00,0.17,0.07,0.12,0.00
"Block Group 1, Census Tract 204.04, Benton County, Arkansas",2430.80,0.83,0.52,0.25,237,0.45,0.00,0.12,0.01,0.75,0.10,0.43,0.87,0.60,0.19,0.85,0.11,0.07,2000.00,0.25,0.28,0.11,0.00
"Block Group 2, Census Tract 204.04, Benton County, Arkansas",2929.50,0.50,0.49,0.58,296,0.41,0.00,0.14,0.01,0.59,0.19,0.35,0.84,0.47,0.21,0.64,0.04,0.10,1988.00,0.38,0.23,0.13,0.00
"Block Group 3, Census Tract 204.04, Benton County, Arkansas",3483.30,0.50,0.46,0.21,347,0.39,0.00,0.16,0.02,0.69,0.16,0.22,0.92,0.56,0.27,0.80,0.14,0.09,1991.00,0.27,0.12,0.18,0.00
"Block Group 1, Census Tract 204.05, Benton County, Arkansas",856.60,2.67,0.53,0.14,496,0.71,0.00,0.17,0.01,0.64,0.21,0.52,0.95,0.28,0.22,0.61,0.10,0.30,2011.00,0.42,0.06,0.01,0.00
"Block Group 2, Census Tract 204.05, Benton County, Arkansas",1078.30,2.23,0.47,0.19,318,0.87,0.00,0.06,0.02,0.78,0.05,0.48,0.99,0.35,0.32,0.66,0.08,0.12,2003.00,0.61,0.04,0.05,0.00
"Block Group 1, Census Tract 205.01, Benton County, Arkansas",800.00,0.85,0.47,0.16,144,0.76,0.00,0.35,0.00,0.66,0.44,0.58,0.52,0.20,0.26,0.41,0.17,0.30,1979.00,0.33,0.59,0.00,0.00
"Block Group 2, Census Tract 205.01, Benton County, Arkansas",1169.10,0.70,0.40,0.25,101,0.42,0.15,0.16,0.21,0.44,0.14,0.24,0.81,0.16,0.25,0.45,0.08,0.19,1991.00,0.37,0.00,0.00,0.00
"Block Group 3, Census Tract 205.01, Benton County, Arkansas",796.30,2.92,0.46,0.04,614,0.87,0.00,0.09,0.04,0.87,0.13,0.71,0.99,0.57,0.42,0.76,0.13,0.34,2007.00,0.19,0.00,0.00,0.00
"Block Group 4, Census Tract 205.01, Benton County, Arkansas",1219.70,1.30,0.48,0.00,320,0.76,0.00,0.19,0.00,0.46,0.12,0.38,0.97,0.23,0.25,0.49,0.16,0.34,1999.00,0.43,0.13,0.04,0.04
"Block Group 1, Census Tract 205.03, Benton County, Arkansas",1462.10,0.78,0.49,0.24,71,0.76,0.00,0.17,0.00,0.51,0.13,0.32,0.88,0.22,0.13,0.56,0.00,0.09,1995.00,0.86,0.11,0.17,0.00
"Block Group 2, Census Tract 205.03, Benton County, Arkansas",1358.20,1.11,0.42,0.20,204,0.47,0.35,0.08,0.00,0.48,0.02,0.27,0.93,0.38,0.17,0.63,0.03,0.06,1996.00,0.56,0.12,0.07,0.00
"Block Group 3, Census Tract 205.03, Benton County, Arkansas",2735.50,0.55,0.44,0.45,205,0.80,0.00,0.25,0.06,0.70,0.09,0.45,0.80,0.22,0.23,0.52,0.05,0.12,1992.00,0.60,0.18,0.09,0.01
"Block Group 1, Census Tract 205.04, Benton County, Arkansas",1425.50,1.13,0.52,0.47,303,0.74,0.00,0.20,0.01,0.69,0.08,0.22,0.85,0.40,0.24,0.61,0.12,0.21,1991.00,0.34,0.22,0.05,0.03
"Block Group 2, Census Tract 205.04, Benton County, Arkansas",2613.70,0.53,0.58,0.45,183,0.62,0.00,0.33,0.01,0.67,0.19,0.56,0.72,0.29,0.18,0.46,0.09,0.20,1981.00,0.32,0.27,0.14,0.00
"Block Group 1, Census Tract 206.04, Benton County, Arkansas",4233.60,0.52,0.55,0.18,362,0.65,0.00,0.09,0.01,0.86,0.06,0.54,0.96,0.54,0.34,0.91,0.23,0.11,2002.00,0.35,0.08,0.00,0.00
